               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.068012,             0.02887,            0.025353,             0.57395,              0.6364,              0.5795,             0.22179,            0.056167,            0.021486,            0.021828,           0.0008845,           0.0008845,           0.0008845
                  37,            0.066797,            0.028244,            0.025041,             0.55331,             0.65495,             0.57315,             0.24414,            0.055857,            0.021219,            0.021744,           0.0008812,           0.0008812,           0.0008812
                  38,            0.066617,            0.027842,            0.024239,             0.56242,             0.65708,             0.59223,              0.2483,            0.054769,            0.020951,            0.021566,           0.0008779,           0.0008779,           0.0008779
                  39,            0.064269,             0.02811,            0.023663,             0.61196,             0.67606,             0.62714,             0.24254,            0.055509,            0.021119,            0.020814,           0.0008746,           0.0008746,           0.0008746
                  40,            0.065477,            0.029363,            0.023501,             0.50903,             0.69599,             0.58907,             0.24838,            0.053505,            0.020879,            0.021202,           0.0008713,           0.0008713,           0.0008713
                  41,            0.063638,            0.027777,            0.022487,             0.56131,             0.62432,             0.59075,             0.24114,            0.054783,            0.020932,            0.020466,            0.000868,            0.000868,            0.000868
                  42,            0.067935,            0.028554,            0.022684,             0.60052,             0.68047,             0.62513,             0.26058,            0.054092,            0.020447,            0.019135,           0.0008647,           0.0008647,           0.0008647
                  43,             0.06236,             0.02656,            0.022474,             0.63887,             0.63374,             0.61851,             0.27047,            0.052573,            0.020718,            0.020149,           0.0008614,           0.0008614,           0.0008614
                  44,            0.060241,            0.027207,            0.021734,              0.6076,             0.72054,             0.65654,             0.28704,            0.051755,            0.020181,            0.019224,           0.0008581,           0.0008581,           0.0008581
                  45,            0.063655,            0.026739,            0.022328,             0.59965,             0.65957,              0.6334,             0.24672,            0.053603,            0.020644,            0.018882,           0.0008548,           0.0008548,           0.0008548
                  46,            0.061289,            0.027672,            0.021508,             0.68717,             0.73633,             0.67824,             0.28706,            0.050279,             0.01997,            0.018002,           0.0008515,           0.0008515,           0.0008515
                  47,            0.060341,            0.027765,            0.021192,             0.64029,              0.7555,             0.70453,             0.28521,            0.051569,            0.020202,             0.01782,           0.0008482,           0.0008482,           0.0008482
                  48,            0.061888,            0.026207,             0.02087,             0.57497,             0.78519,             0.69041,             0.29651,            0.050942,            0.020474,            0.018593,           0.0008449,           0.0008449,           0.0008449
                  49,            0.059612,            0.026882,            0.020274,              0.6348,              0.7454,             0.69215,             0.29219,            0.050377,            0.020554,            0.017457,           0.0008416,           0.0008416,           0.0008416
                  50,            0.060751,            0.026278,            0.019536,              0.6388,             0.77776,              0.7195,             0.30352,            0.050605,            0.020297,             0.01811,           0.0008383,           0.0008383,           0.0008383
                  51,            0.059833,            0.027601,            0.020056,             0.68043,              0.7232,             0.71194,             0.29386,            0.051179,            0.019932,            0.017356,            0.000835,            0.000835,            0.000835
                  52,            0.060418,            0.026073,            0.019436,             0.71474,             0.72646,             0.71752,             0.28826,            0.051835,            0.020065,            0.017089,           0.0008317,           0.0008317,           0.0008317
                  53,            0.058191,            0.026513,            0.018261,             0.66829,             0.70427,             0.69024,             0.29285,             0.05197,            0.020104,            0.018272,           0.0008284,           0.0008284,           0.0008284
                  54,            0.057588,             0.02607,            0.017966,             0.69301,             0.79194,             0.75835,             0.32873,            0.048349,            0.019622,             0.01652,           0.0008251,           0.0008251,           0.0008251
                  55,            0.058301,             0.02663,            0.018765,             0.66667,             0.69834,             0.71727,             0.29218,            0.051441,            0.020126,            0.016422,           0.0008218,           0.0008218,           0.0008218
                  56,            0.058333,            0.026819,            0.017909,             0.71435,             0.80059,             0.77539,             0.32774,            0.047956,             0.01997,            0.015951,           0.0008185,           0.0008185,           0.0008185
                  57,            0.058852,            0.026798,            0.017613,             0.71486,             0.74676,             0.76768,             0.31647,            0.049455,            0.019783,            0.015428,           0.0008152,           0.0008152,           0.0008152
                  58,            0.059781,            0.026333,            0.018214,             0.73328,             0.79133,             0.78353,              0.3258,             0.04855,            0.019948,            0.015703,           0.0008119,           0.0008119,           0.0008119
                  59,            0.056019,            0.025792,            0.016767,             0.75538,             0.74492,             0.76431,             0.31961,            0.050161,            0.019715,            0.014531,           0.0008086,           0.0008086,           0.0008086
                  60,            0.057284,             0.02653,            0.016624,             0.80417,             0.73613,             0.80749,             0.35167,            0.048234,            0.019638,            0.013322,           0.0008053,           0.0008053,           0.0008053
                  61,             0.05618,            0.026299,            0.015362,             0.82825,             0.76544,             0.81918,             0.34817,            0.046869,            0.019545,            0.012902,            0.000802,            0.000802,            0.000802
                  62,            0.056428,            0.026528,            0.014762,             0.83056,             0.79906,             0.82549,             0.35616,            0.047703,             0.01947,            0.012843,           0.0007987,           0.0007987,           0.0007987
                  63,            0.055855,            0.025978,            0.014955,             0.84183,             0.79416,             0.83281,             0.36176,            0.047139,            0.019019,            0.012711,           0.0007954,           0.0007954,           0.0007954
                  64,            0.056278,            0.025335,            0.014164,             0.84537,             0.80669,             0.85075,             0.37921,            0.047099,            0.018874,            0.012018,           0.0007921,           0.0007921,           0.0007921
                  65,            0.056545,            0.025518,            0.014765,              0.8229,             0.79164,             0.84481,             0.36758,            0.047333,            0.019613,            0.012307,           0.0007888,           0.0007888,           0.0007888
                  66,            0.055096,            0.024575,            0.013421,             0.86746,             0.81398,             0.86613,             0.37422,            0.047293,            0.019083,            0.011118,           0.0007855,           0.0007855,           0.0007855
                  67,            0.056734,             0.02561,            0.013406,             0.80575,             0.74879,             0.80736,             0.34314,            0.048483,             0.01921,            0.010386,           0.0007822,           0.0007822,           0.0007822
                  68,            0.056401,            0.025656,            0.013068,              0.8479,             0.81851,             0.87288,             0.38053,            0.047412,            0.018904,            0.010931,           0.0007789,           0.0007789,           0.0007789
                  69,            0.055163,            0.026499,            0.012582,             0.83712,             0.81076,             0.86259,             0.37097,            0.047751,             0.01947,            0.010326,           0.0007756,           0.0007756,           0.0007756
                  70,            0.053999,            0.025727,            0.012723,             0.87336,             0.77218,             0.84646,             0.38123,            0.046836,            0.019677,            0.011904,           0.0007723,           0.0007723,           0.0007723
                  71,            0.053893,            0.024771,            0.011351,             0.88038,             0.81219,             0.86789,             0.38508,            0.046027,            0.019371,           0.0098912,            0.000769,            0.000769,            0.000769
                  72,            0.052916,            0.024825,            0.010805,             0.85356,             0.84854,             0.87942,             0.39287,            0.045834,             0.01903,            0.010129,           0.0007657,           0.0007657,           0.0007657
                  73,            0.052835,            0.025024,            0.010581,             0.81596,             0.82156,             0.85221,             0.38066,            0.046847,            0.019466,           0.0098359,           0.0007624,           0.0007624,           0.0007624
                  74,            0.053657,            0.024979,             0.01045,             0.89869,             0.81607,             0.87545,             0.37841,            0.047856,            0.019273,           0.0085124,           0.0007591,           0.0007591,           0.0007591
                  75,            0.054427,            0.025135,            0.010468,             0.89173,             0.80896,             0.88232,             0.39515,            0.045769,            0.019103,            0.009085,           0.0007558,           0.0007558,           0.0007558
                  76,            0.052551,            0.024543,           0.0098231,             0.89451,             0.82596,             0.87192,             0.39711,            0.045814,            0.019138,           0.0081989,           0.0007525,           0.0007525,           0.0007525
                  77,            0.054444,            0.025992,            0.010698,             0.89375,             0.85031,             0.88815,               0.384,            0.045633,             0.01873,           0.0079206,           0.0007492,           0.0007492,           0.0007492
                  78,             0.05255,             0.02526,            0.009877,             0.91394,             0.87654,             0.90926,             0.41062,            0.044747,              0.0183,           0.0079923,           0.0007459,           0.0007459,           0.0007459
                  79,            0.053702,            0.025076,            0.010024,             0.89478,                0.85,             0.89499,             0.39045,            0.045973,            0.018907,           0.0072715,           0.0007426,           0.0007426,           0.0007426
                  80,            0.053129,            0.025251,            0.009767,             0.88948,             0.87933,             0.90003,              0.3982,            0.046557,            0.018896,           0.0069448,           0.0007393,           0.0007393,           0.0007393
                  81,            0.052751,             0.02379,           0.0093658,              0.9176,             0.84114,             0.89535,             0.41312,            0.044641,            0.018428,           0.0080132,            0.000736,            0.000736,            0.000736
                  82,            0.052568,            0.024281,           0.0087452,             0.90002,             0.82155,             0.89276,             0.40393,            0.046381,            0.018783,           0.0089304,           0.0007327,           0.0007327,           0.0007327
                  83,            0.051511,            0.025549,           0.0087339,             0.89532,             0.81928,             0.88689,             0.39635,            0.045613,            0.018874,           0.0090183,           0.0007294,           0.0007294,           0.0007294
                  84,            0.051841,            0.023667,           0.0086517,             0.89706,             0.85882,             0.88984,             0.41934,            0.044444,            0.018795,            0.007718,           0.0007261,           0.0007261,           0.0007261
                  85,            0.051029,            0.024197,           0.0085577,             0.89848,             0.86524,             0.89961,             0.42044,            0.044743,            0.018868,           0.0064833,           0.0007228,           0.0007228,           0.0007228
                  86,            0.050344,            0.024452,           0.0082296,             0.87873,             0.88079,             0.90303,             0.40948,            0.046132,            0.018932,           0.0075558,           0.0007195,           0.0007195,           0.0007195
                  87,            0.053378,            0.024783,           0.0086692,             0.91058,             0.88163,             0.91465,             0.41695,            0.044415,            0.018423,           0.0066028,           0.0007162,           0.0007162,           0.0007162
                  88,            0.051985,            0.024733,           0.0082771,             0.91148,             0.85531,             0.89353,             0.41234,            0.044825,            0.018502,           0.0064626,           0.0007129,           0.0007129,           0.0007129
                  89,            0.050703,            0.023655,           0.0081771,              0.9081,             0.88069,              0.9135,             0.43039,            0.044856,            0.018485,           0.0067817,           0.0007096,           0.0007096,           0.0007096
                  90,            0.050238,            0.022796,           0.0073236,             0.91448,             0.86625,             0.91632,             0.41446,            0.044786,            0.018238,           0.0062836,           0.0007063,           0.0007063,           0.0007063
                  91,            0.053039,            0.025231,            0.007605,              0.9488,             0.86893,             0.91119,             0.42007,            0.044708,            0.018523,           0.0056626,            0.000703,            0.000703,            0.000703
                  92,            0.051822,            0.024954,           0.0073837,             0.94452,             0.85944,             0.91301,             0.41267,            0.044273,            0.018628,           0.0065195,           0.0006997,           0.0006997,           0.0006997
                  93,            0.051423,            0.024763,            0.008083,              0.9066,             0.88135,             0.91335,             0.40854,            0.044893,            0.018504,           0.0063219,           0.0006964,           0.0006964,           0.0006964
                  94,            0.049607,            0.023902,           0.0066826,              0.9367,             0.87077,             0.92379,             0.41026,            0.044365,            0.018364,           0.0059956,           0.0006931,           0.0006931,           0.0006931
